Protein	Degree
CCDC68	0
CCDC69	0
CCDC70	0
CCDC85B	1
CCDC85C	0
CCDC87	0
CCDC88C	0
CCDC91	1
CCDC92	1
CCDC93	0
CCDC94	0
CCER1	0
CCHCR1	2
CCKBR	3
CCL28	0
CCL4	2
CCL4L2	0
CCL7	1
CCM2L	0
CCNB1IP1	2
CCNC	1
CCND1	13
CCND2	3
CCND3	15
CCNDBP1	4
CCNG1	2
CCNG2	0
CCNH	5
CCNJL	0
CCNK	2
CCNL1	0
CCNL2	0
CCT2	0
CCT3	0
CCT5	1
CCT7	0
CD151	0
CD160	1
CD164	0
CD177	0
CD209	1
CD2BP2	10
CD300A	0
CD300LG	0
CD302	0
CD33	0
CD40	6
CD47	1
CD69	0
CD79A	0
CD79B	1
CD99L2	0
CDA	0
CDC16	2
CDC20B	0
CDC23	0
CDC26	1
CDC27	6
CDC34	6
CDC37L1	0
CDC42	35
CDC42EP1	1
CDC42EP2	2
CDC42EP4	0
CDC45	7
CDC5L	18
CDC73	3
CDCA3	1
CDCA7L	1
CDCP1	0
CDH15	2
CDIP1	0
CDIPT	0
CDK1	8
CDK16	4
CDK18	0
CDK2AP1	1
CDK2AP2	1
CDK4	15
CDK5	10
CDK5R1	8
CDK5RAP3	3
CDK6	12
CDK8	1
CDKAL1	0
CDKL3	0
CDKN1A	31
CDKN1B	11
CDKN2B	2
CDKN2C	2
CDKN2D	1
CDPF1	0
CDR1	0
CDR2	2
CDRT4	0
CDSN	0
CDX4	0
CEBPG	13
CELA2B	0
CENPH	1
CENPK	1
CENPL	0
CENPO	0
CENPP	0
CENPU	2
CEP170P1	0
CEP19	0
CEP290	1
CEP44	0
CEP55	5
CEP57	1
CEP57L1	0
CEP63	1
CEP68	0
CEP70	1
CEP72	1
CEP76	0
CEP83	0
CEP95	0
CERCAM	0
CERK	0
CETN1	0
CETN2	3
CETN3	1
CFAP53	0
CFAP58	0
CFL1	3
CFL2	0
CFLAR	5
CGGBP1	0
CHAF1A	11
CHCHD2	0
CHCHD3	1
CHD2	0
CHDH	0
CHIC2	0
CHMP1B	7
CHMP2A	5
CHMP3	5
CHMP4A	3
CHMP4C	2
CHMP5	3
CHN1	0
CHRAC1	0
CHRD	1
CHRNG	0
CHTOP	0
CIAO1	1
CIAPIN1	0
CIART	0
CIB3	0
CINP	1
CIPC	0
CIR1	6
CIRBP	1
CKB	0
CKM	2
CKS1B	4
CLASP1	0
CLASRP	1
CLC	0
CLCN1	0
CLDN2	0
CLDN7	0
CLDN8	0
CLEC18A	0
CLEC7A	0
CLHC1	0
CLIC3	0
CLIP4	0
CLK1	1
CLK2	1
CLK3	0
CLK4	2
CLNS1A	6
CLPB	0
CLUAP1	1
CMTM3	0
CMTM5	0
CMTM6	0
CNKSR1	4
CNKSR3	0
CNNM3	0
CNOT7	7
CNOT8	5
CNST	2
CNTF	0
CNTNAP2	0
CNTROB	0
COA5	0
COASY	1
COG2	0
COG7	0
COG8	0
COIL	7
COL10A1	0
COL1A2	0
COL20A1	0
COL23A1	0
COL24A1	0
COL4A3BP	0
COL8A1	0
COL8A2	0
COLGALT2	0
COMMD1	9
COMMD6	1
COMP	0
COMT	0
COMTD1	0
COPE	5
COPS4	8
COPS7B	0
COPS8	4
CORO1A	1
CORO2B	0
CORO6	0
COTL1	1
COX17	2
COX4I1	0
COX5A	0
COX5B	1
COX6B2	0
COX8A	0
CPNE2	1
CPNE6	0
CPNE7	0
CPSF1	0
CPSF4	0
CPSF6	6
CPSF7	2
CPT1B	0
CRABP2	1
CRACR2A	1
CRACR2B	0
CRADD	2
CRB3	0
CRBN	2
CRCP	0
CRCT1	0
CREB3L1	3
CREB5	2
CREBZF	5
CRH	1
CRK	20
CRLF3	0
CRMP1	3
CROCCP2	0
CRP	1
CRTAC1	0
CRX	3
CRY2	1
CRYAA	8
CRYAB	13
CRYBA1	3
CRYBA4	0
CRYBB1	1
CRYBB3	0
CRYGA	0
CSDC2	0
CSDE1	0
CSF1	2
CSF2	4
CSF2RA	3
CSGALNACT2	0
CSN2	0
CSN3	2
CSNK1D	3
CSNK1E	12
CSNK1G1	0
CSNK1G2	1
CSNK1G2-AS1	0
CSNK2A1	13
CSNK2A2	10
CSPP1	0
CSRNP1	1
CSRNP2	1
CSRP2	1
CSRP2BP	0
CST1	0
CST2	0
CST9L	0
CSTF2	1
CSTF2T	0
CT45A3	0
CT45A5	0
CT55	0
CTAG1B	1
CTAG2	0
CTAGE5	0
CTBP1	21
CTBP1-AS2	0
CTBP2	21
CTC1	2
CTCF	2
CTDSP1	1
CTDSP2	1
CTF1	0
CTH	0
CTNNAL1	1
CTNNBIP1	2
CTNNBL1	3
CTNND1	4
CTPS1	0
CTPS2	0
CTRC	0
CTSG	0
CTSL	0
CTSZ	0
CTTNBP2NL	0
CUL3	15
CUL5	5
CUTA	1
CUTC	0
CWF19L2	0
CXCL11	0
CXCL14	0
CXCL16	0
CXCL5	0
CXCL9	0
CXXC1	0
CXorf56	0
CXorf57	0
CYB561	0
CYB561A3	0
CYB5R1	0
CYB5R2	0
CYBA	1
CYBRD1	1
CYCS	0
CYGB	1
CYHR1	0
CYP1A1	0
CYP2S1	0
CYTH2	7
CYTH3	1
