MIF,MIF
PCSK5,KRTAP12-2
LCE2A,KRTAP12-2
EFEMP2,KRTAP12-2
RAD23A,KRTAP12-2
PACSIN3,KRTAP12-2
GPRIN2,KRTAP12-2
SLC15A2,KRTAP12-2
ZNF696,KRTAP12-2
FOXD4L1,KRTAP12-2
PLAC8,KRTAP12-2
TTPA,KRTAP12-2
CHRD,KRTAP12-2
CBLL2,KRTAP12-2
ZNHIT1,KRTAP12-2
PELO,KRTAP12-2
ZDHHC1,KRTAP12-2
ATN1,KRTAP12-2
KRTAP12-1,KRTAP12-2
VASN,KRTAP12-2
LCE2B,KRTAP12-2
POU4F2,KRTAP12-2
ZNF587,KRTAP12-2
ZNF408,KRTAP12-2
ZNF497,KRTAP12-2
TCEA2,KRTAP12-2
ZNF581,KRTAP12-2
ZNF764,KRTAP12-2
IQUB,KRTAP12-2
CCNL1,KRTAP12-2
BEX2,KRTAP12-2
GDF15,KRTAP12-2
PDE9A,KRTAP12-2
SEMA3B,KRTAP12-2
VENTX,KRTAP12-2
DGCR6,KRTAP12-2
MYOZ1,KRTAP12-2
MYPOP,KRTAP12-2
TSGA10IP,KRTAP12-2
FOXD4,KRTAP12-2
CNNM3,KRTAP12-2
PATZ1,KRTAP12-2
TMEM179B,KRTAP12-2
KRTAP19-2,KRTAP12-2
TEX37,KRTAP12-2
SPRY1,KRTAP12-2
TRIM42,KRTAP12-2
ADAM12,KRTAP12-2
LCE1C,KRTAP12-2
KRTAP15-1,KRTAP12-2
NR1D2,KRTAP12-2
INO80B,KRTAP12-2
KRTAP9-3,KRTAP12-2
KRTAP9-8,KRTAP12-2
ATP6V1C2,KRTAP12-2
KRTAP13-2,KRTAP12-2
KRTAP6-3,KRTAP12-2
KRT34,KRTAP12-2
GPANK1,KRTAP12-2
POLR1C,KRTAP12-2
FHL3,KRTAP12-2
TLE5,KRTAP12-2
KRTAP12-4,KRTAP12-2
VGLL3,KRTAP12-2
KRTAP26-1,KRTAP12-2
CYSRT1,KRTAP12-2
ARID5A,KRTAP12-2
KRTAP6-2,KRTAP12-2
CATSPER1,KRTAP12-2
RHOXF2,KRTAP12-2
OTX1,KRTAP12-2
TNS2,KRTAP12-2
PIH1D2,KRTAP12-2
LCE1A,KRTAP12-2
MEOX2,KRTAP12-2
THEM5,SYNJ2BP
TMEM101,SYNJ2BP
MEDAG,SYNJ2BP
ELOVL7,SYNJ2BP
FAM210B,SYNJ2BP
TLCD4,SYNJ2BP
SLC7A8,SYNJ2BP
FCER1G,SYNJ2BP
REEP4,SYNJ2BP
SLC10A6,SYNJ2BP
CPLX4,SYNJ2BP
LHFPL5,SYNJ2BP
EBP,SYNJ2BP
ERGIC3,SYNJ2BP
CYB561,SYNJ2BP
USHBP1,SYNJ2BP
AQP6,SYNJ2BP
ELOVL5,SYNJ2BP
TMEM14B,SYNJ2BP
CD79A,SYNJ2BP
CREB3L1,SYNJ2BP
KIAA0895L,ZBTB8B
SPATC1L,ZBTB8B
MORF4L1,ZBTB8B
UBQLN1,ZBTB8B
CDC7,ZBTB8B
SGTA,ZBTB8B
LMO1,ZBTB8B
LMO3,ZBTB8B
